data_pregao,sigla_acao,nome_acao,preco_abertura,preco_maximo,preco_minimmo,preco_fechamento,qtd_negocios,volume_negocios,MM5D,MM21D
2010-01-04,VALE3,VALE,50.19,51.49,49.8,51.49,2464600.0,12536835000.0,0.0,0.0
2010-01-05,VALE3,VALE,51.54,52.54,51.24,51.97,3051500.0,15838178500.0,0.0,0.0
2010-01-06,VALE3,VALE,52.0,53.37,51.78,53.07,2759900.0,14600228900.0,0.0,0.0
2010-01-07,VALE3,VALE,52.51,53.54,52.5,53.29,2564400.0,13613502200.0,0.0,0.0
2010-01-08,VALE3,VALE,53.3,54.24,53.0,53.81,2461600.0,13254784000.0,52.726,0.0
2010-01-11,VALE3,VALE,54.6,54.6,53.34,53.65,2857300.0,15369135700.0,53.157999999999994,0.0
2010-01-12,VALE3,VALE,52.8,53.5,52.3,53.5,2645200.0,13984085100.0,53.464,0.0
2010-01-13,VALE3,VALE,54.2,54.38,53.42,54.16,2651700.0,14298345800.0,53.681999999999995,0.0
2010-01-14,VALE3,VALE,54.18,54.8,53.7,54.15,1611100.0,8738297000.0,53.854,0.0
2010-01-15,VALE3,VALE,53.78,53.99,52.85,53.45,2227700.0,11884722700.0,53.782000000000004,0.0
2010-01-18,VALE3,VALE,53.3,54.35,53.3,54.2,1109800.0,5983397100.0,53.891999999999996,0.0
2010-01-19,VALE3,VALE,53.51,55.0,53.51,54.95,1897600.0,10364083100.0,54.182,0.0
2010-01-20,VALE3,VALE,53.91,54.41,53.0,53.45,3139300.0,16794090400.0,54.04,0.0
2010-01-21,VALE3,VALE,53.6,53.6,51.29,51.6,3633600.0,18985819200.0,53.529999999999994,0.0
2010-01-22,VALE3,VALE,51.31,51.55,50.19,50.51,3527900.0,17925617700.0,52.94200000000001,0.0
2010-01-26,VALE3,VALE,49.75,50.27,49.1,49.49,4392500.0,21823724100.0,52.0,0.0
2010-01-27,VALE3,VALE,49.64,49.64,48.15,48.81,3325800.0,16198794300.0,50.772000000000006,0.0
2010-01-28,VALE3,VALE,49.31,49.88,48.02,48.78,2421100.0,11824465400.0,49.838,0.0
2010-01-29,VALE3,VALE,49.13,49.95,48.51,48.91,3404300.0,16781652500.0,49.3,0.0
2010-02-01,VALE3,VALE,49.39,50.55,48.9,50.39,2694700.0,13449119700.0,49.275999999999996,0.0
2010-02-02,VALE3,VALE,51.17,51.19,50.1,50.39,2534400.0,12791861300.0,49.456,52.09619047619047
2010-02-03,VALE3,VALE,50.46,50.61,49.96,50.28,2893000.0,14530108800.0,49.75,52.03857142857142
2010-02-04,VALE3,VALE,49.62,49.8,47.34,47.56,4266600.0,20601557600.0,49.506,51.828571428571436
2010-02-05,VALE3,VALE,47.09,47.4,45.7,47.16,3850000.0,17891476100.0,49.156,51.54714285714286
2010-02-08,VALE3,VALE,47.57,48.7,47.2,47.5,4466700.0,21387143600.0,48.577999999999996,51.27142857142857
2010-02-09,VALE3,VALE,48.2,49.2,48.0,48.5,4223700.0,20541692600.0,48.2,51.018571428571434
2010-02-10,VALE3,VALE,48.75,48.9,47.65,48.55,2721800.0,13149591700.0,47.854,50.77571428571429
2010-02-11,VALE3,VALE,48.05,49.74,46.65,49.69,8241000.0,39746542400.0,48.279999999999994,50.59428571428572
